2500,0.026000,0.020000,0.020000,0.020000,0.020000 
5000,0.080000,0.081000,0.078000,0.082000,0.078000 
7500,0.177000,0.173000,0.178000,0.178000,0.177000 
10000,0.324000,0.320000,0.323000,0.317000,0.313000 
12500,0.495000,0.501000,0.502000,0.514000,0.503000 
15000,0.737000,0.730000,0.734000,0.716000,0.708000 
17500,1.066000,1.029000,1.158000,1.163000,1.128000 
20000,1.500000,1.456000,1.628000,1.786000,1.761000 
22500,2.046000,1.877000,1.852000,1.835000,1.908000 
25000,2.346000,2.425000,2.560000,2.624000,2.423000 
27500,3.247000,3.150000,3.346000,3.553000,2.951000 
30000,4.214000,3.887000,3.880000,4.541000,4.448000 
32500,4.929000,5.125000,4.909000,4.761000,4.960000 
35000,5.570000,5.485000,5.558000,5.528000,5.622000 
37500,6.247000,6.329000,6.407000,6.344000,6.326000 
40000,7.152000,7.118000,7.328000,7.233000,7.117000 
42500,8.144000,8.202000,8.124000,8.110000,8.289000 
45000,9.148000,9.218000,9.155000,9.150000,9.173000 
47500,10.276000,10.429000,10.204000,10.167000,10.183000 
50000,11.266000,11.268000,11.460000,11.136000,11.211000 
52500,12.372000,12.409000,12.407000,12.487000,12.225000 
55000,13.690000,13.569000,13.468000,13.624000,13.637000 
57500,20.469000,24.285000,24.374001,24.261999,24.979000 
60000,26.278000,26.250000,26.497999,26.236000,26.447001 
62500,28.672001,28.283001,29.039000,28.612000,28.981001 
65000,31.179001,31.330000,30.055000,19.194000,19.532000 
67500,20.812000,20.503000,20.493000,20.570999,20.552999 
70000,21.929001,18.695000,20.214001,18.552000,18.438000 
72500,20.011999,20.082001,19.573999,19.929001,19.919001 
75000,20.740000,20.688000,20.707001,20.978001,20.568001 
77500,22.396000,22.187000,22.462999,22.315001,22.216000 
80000,23.658001,23.850000,23.322001,28.622999,36.477001 
82500,38.490002,39.514999,38.282001,39.834000,39.943001 
85000,40.729000,41.123001,40.334000,40.632999,41.127998 
87500,43.067001,43.028999,42.713001,43.131001,42.798000 
90000,45.941002,45.582001,45.167999,45.570999,44.419998 
92500,42.471001,42.771999,43.539001,42.818001,42.918999 
95000,45.008999,45.662998,45.151001,45.014999,45.848000 
97500,47.466000,48.674999,47.125000,47.589001,32.321999 
100000,31.236000,31.223000,31.223000,31.145000,31.136000 
