2500,0.010000,0.011000,0.010000,0.011000,0.009000 
5000,0.040000,0.039000,0.039000,0.039000,0.039000 
7500,0.087000,0.086000,0.086000,0.094000,0.094000 
10000,0.155000,0.153000,0.154000,0.167000,0.154000 
12500,0.240000,0.242000,0.241000,0.240000,0.242000 
15000,0.391000,0.349000,0.348000,0.351000,0.362000 
17500,0.466000,0.467000,0.490000,0.488000,0.483000 
20000,0.648000,0.649000,0.644000,0.627000,0.637000 
22500,0.838000,0.821000,0.836000,0.809000,0.816000 
25000,0.984000,1.103000,1.046000,1.166000,1.168000 
27500,1.409000,1.413000,1.406000,1.492000,1.722000 
30000,1.993000,1.825000,1.685000,1.678000,1.607000 
32500,1.959000,1.969000,1.971000,2.057000,2.159000 
35000,2.592000,2.411000,2.509000,2.543000,2.668000 
37500,3.127000,3.116000,2.754000,3.452000,2.908000 
40000,3.330000,3.889000,4.131000,3.791000,3.728000 
42500,4.372000,4.182000,4.130000,4.208000,4.148000 
45000,4.622000,4.421000,4.672000,4.541000,4.777000 
47500,5.022000,5.027000,5.041000,5.117000,5.069000 
50000,5.622000,5.665000,5.557000,5.571000,5.607000 
52500,6.420000,6.185000,6.196000,6.172000,6.259000 
55000,6.778000,6.843000,6.741000,6.938000,6.819000 
57500,7.509000,7.470000,7.473000,7.444000,7.516000 
60000,8.108000,8.239000,8.371000,8.075000,8.099000 
62500,8.939000,8.820000,8.714000,8.740000,8.856000 
65000,9.584000,9.452000,9.428000,9.444000,9.484000 
67500,10.167000,10.494000,10.122000,10.047000,10.287000 
70000,10.988000,11.008000,11.013000,11.016000,11.029000 
72500,13.322000,20.805000,19.118000,19.055000,19.221001 
75000,20.823000,20.771999,20.622000,20.636000,20.594999 
77500,22.223000,21.752001,22.247999,22.120001,21.924000 
80000,24.080000,23.552999,23.971001,22.999001,23.393999 
82500,24.822001,25.007999,20.117001,15.618000,15.586000 
85000,16.599001,16.278000,16.365000,16.073999,16.313999 
87500,17.198999,17.552999,15.691000,14.447000,15.767000 
90000,15.751000,15.064000,15.543000,15.105000,15.490000 
92500,15.937000,16.070000,16.195999,16.096001,15.727000 
95000,16.580999,16.705000,16.559000,16.837000,16.618999 
97500,17.754999,17.452000,17.562000,17.643999,17.566000 
100000,18.513000,18.535999,18.625000,18.527000,18.733999 
