2500,0.010000,0.012000,0.010000,0.011000,0.011000 
5000,0.043000,0.042000,0.044000,0.044000,0.043000 
7500,0.096000,0.095000,0.096000,0.096000,0.095000 
10000,0.170000,0.170000,0.170000,0.345000,0.364000 
12500,0.577000,0.566000,0.569000,0.576000,0.521000 
15000,0.383000,0.383000,0.391000,0.383000,0.383000 
17500,0.779000,1.160000,1.127000,0.878000,0.520000 
20000,0.684000,0.681000,1.256000,1.480000,1.187000 
22500,0.872000,0.873000,1.614000,1.914000,0.935000 
25000,1.069000,1.818000,2.146000,1.072000,1.078000 
27500,2.746000,1.682000,1.297000,2.900000,2.941000 
30000,2.808000,2.803000,2.347000,3.423000,2.272000 
32500,4.515000,4.048000,4.026000,3.858000,3.885000 
35000,4.115000,3.708000,3.180000,3.183000,3.885000 
37500,3.135000,3.815000,3.926000,4.061000,4.199000 
40000,6.034000,5.875000,6.052000,6.103000,5.937000 
42500,7.936000,6.769000,6.731000,6.666000,5.169000 
45000,5.303000,5.820000,6.134000,7.414000,6.121000 
47500,5.790000,8.348000,8.264000,6.947000,7.026000 
50000,6.569000,9.104000,6.646000,7.475000,7.055000 
52500,7.445000,6.563000,6.553000,6.945000,7.526000 
55000,8.604000,9.132000,10.889000,8.712000,7.188000 
57500,8.546000,10.154000,8.279000,8.942000,7.552000 
60000,9.861000,12.480000,10.057000,10.518000,11.308000 
62500,11.035000,10.723000,10.101000,10.424000,9.772000 
65000,10.363000,10.388000,10.899000,10.944000,10.955000 
67500,12.016000,15.186000,11.575000,11.485000,11.507000 
70000,12.461000,12.896000,12.831000,12.075000,12.062000 
72500,13.167000,14.051000,12.704000,13.121000,14.101000 
75000,13.390000,15.152000,13.414000,15.179000,13.349000 
77500,15.934000,15.379000,14.642000,15.826000,22.650000 
80000,26.381001,27.811001,29.282000,27.537001,19.125000 
82500,17.261000,17.299999,23.080999,29.591000,29.605000 
85000,33.254002,32.615002,33.118999,32.723000,31.844999 
87500,34.935001,33.383999,34.816002,34.728001,34.224998 
90000,34.231998,36.433998,35.848000,37.140999,34.540001 
92500,38.041000,37.650002,38.858002,37.896000,36.776001 
95000,40.908001,40.386002,40.397999,40.655998,39.983002 
97500,42.780998,43.609001,42.148998,41.782001,42.566002 
100000,44.890999,44.666000,45.453999,44.675999,45.098999 
